datetime	content	title	channels
2020-10-12 23:55:29	高盛：不同大选结果下的标普500预期。		观点
2020-10-12 23:51:12	【拜登在民调中领先特朗普10.6个百分点 优势扩大】RealClearPolitics数据显示，10月12日，乔·拜登的民调支持率平均为52.3%，唐纳德·特朗普为41.7%。拜登支持率较前一天的52.1%上升0.2个百分点。特朗普较前一日的41.8%下跌0.1个百分点。		国际
2020-10-12 23:46:41	  英国贸易部表示，英国和澳大利亚共享了草案章节文本，为第二轮贸易谈判中关税提议的初步交换奠定了基础。		国际
2020-10-12 23:45:36	  欧洲央行副行长金多斯：汇率对通货膨胀、经济都有影响。		国际
2020-10-12 23:45:24	英镑兑欧元继续上涨，目前上涨0.4%，至90.29便士，为9月28日以来的最高点。		国际
2020-10-12 23:45:10	  【欧洲三大股指收盘涨跌不一】英国富时100指数收跌0.23%报6002.60点；德国DAX30指数涨0.65%报13136.40点；法国CAC40指数涨0.66%报4979.29点。		国际
2020-10-12 23:41:53	  欧洲央行副行长金多斯：欧洲央行没有将汇率作为目标。		国际
2020-10-12 23:41:13	  欧洲证券及市场管理局表示，预计在英国脱欧过渡安排于12月结束后，将很快就欧盟股票交易发表公开声明。		国际
2020-10-12 23:41:00	拼多多高开高走，最新涨幅超6%，股价报84.3美元，成交金额4.7亿美元。10月份以来拼多多累计上涨13.6%。		公司
2020-10-12 23:40:48	在岸人民币兑美元（CNY）北京时间23:30收报6.7460元，较上周五夜盘收盘跌528点。成交量301.36亿美元，较上周五增加33.33亿美元。		国际
2020-10-12 23:34:47	【新兴市场交易员对美国大选会引发市场波动的预期降温】全世界的交易员可能已经意识到，美国大选或许不会像过去所预期的那样动荡不安。但是真正的信徒似乎在新兴市场。人们乐观地认为，11月大选结果将毫无争议，而且无论结果如何都将就美国的刺激方案达成一致。这减轻了人们对年底市场波动的担忧。美国VIX期货上周下降，不过新兴市场的跌幅更为明显。		观点
2020-10-12 23:34:06	苹果涨幅扩大至5%，纳指现涨2.2%。		焦点
2020-10-12 23:32:19	【海岬型船费率走低，波罗的海干散货指数创2个多月以来最大跌幅】波罗的海干散货指数在周一下跌85点或4.5%，报1807点，为7月24日以来最大跌幅。海岬型船运价指数下跌7.3%至3296点，为连续4个交易日下跌，日均获利下跌2146美元至27333美元。巴拿马型船运价指数上涨0.3%，至1443点，为连续7个交易日上涨，日均获利上涨36美元至12986美元。超灵便型船运价指数涨1点至596点。		行业
2020-10-12 23:32:03	【英国酒店和零售类股维持跌势，此前英国政府确认了新冠肺炎疫情期间的分层警报系统】英国餐饮集团（RTN.LN）下跌逾8.7%，维持在美股盘前录得的日低47.88英镑附近。Marston’s（MARS.LN）跌超5.2%，徘徊于欧市盘初录得的日低46.64英镑附近。Mitchells & Butlers（MAB.LN）跌超3.1%，电影院运营商Cineworld集团（CINE.LN）跌约1.7%。SSP集团（SSPG.LN）跌超4.5%，WH史密斯（SMWH.LN）跌超1.9%。		行业
2020-10-12 23:29:25	现货钯金失守2400美元/盎司，日内跌幅1.72%。		市场
2020-10-12 23:29:01	俄罗斯主权财富基金（RDIF）CEO：俄罗斯首款新冠疫苗SPUTNIK V将于10月底至11月初在国内广泛使用。		国际
2020-10-12 23:28:54	市场消息：爱尔兰将在周二的一揽子预算中把2021年预算赤字目标定在GDP的6%以下。		国际
2020-10-12 23:28:46	螺纹期货夜盘收跌0.30%，热卷收跌0.11%；铁矿石期货收跌0.54%。焦炭夜盘收涨0.36%，焦煤收涨2.18%，动力煤收平。橡胶夜盘收涨0.15%，沥青收跌1.78%。豆粕夜盘收跌1.22%，菜粕收跌0.28%。郑棉夜盘收涨0.87%。		市场
2020-10-12 23:28:21	G7财长声明草案：在充分满足法律、监管和监督要求之前，不应推出全球稳定币。		国际
2020-10-12 23:28:10	【上海加强对国内疫情中风险地区来沪返沪人员健康管理】上海市疫情防控工作领导小组办公室发布信息，本市加强对国内疫情中风险地区来沪返沪人员健康管理，10月13日零时起，国内疫情中风险地区来沪返沪人员应在抵沪后的12小时内向所在居村委和单位（或所住宾馆）报告，并一律实施14天严格的社区健康管理，免费实行2次新冠病毒核酸检测。		疫情
2020-10-12 23:19:40	英国首相约翰逊：有机会接种疫苗，但不能想当然。		国际
2020-10-12 23:17:06	英国首相约翰逊：有机会接种疫苗，但不能想当然。		国际
2020-10-12 23:16:59	美股持续上扬，道指涨幅扩大至1%。		市场
