datetime	content	title	channels
2020-01-06 23:56:56	【波罗的海干散货运价指数创近8个月低位】受因干散货船运需求下降的压力影响，波罗的海干散货指数跌至4月以来新低。波罗的海干散货指数周一跌6.9%，或63点，报844点。海岬型船运价指数跌119点，报1388点，为2019年5月10日以来最低水平，日均获利跌1042美元，报9783美元。巴拿马型船运价指数降59点，或6.2%，报890点，日均获利降524美元，报8013美元。		市场
2020-01-06 23:51:58	【英杰华投资集团：预计2020年全球经济增速将上涨至3.25%】英杰华投资集团预计，2020年全球经济增速将从2019年的3%上涨至3.25%，不过仍低于潜在水平。通胀压力可能在可预期的将来都受抑。预计风险较三个月前变得更加平衡，但仍偏向下行。稳定的增速及低企的通胀意味着各国央行将仍维持货币政策的宽松倾向，即使有额外的刺激也是有限的。		观点
2020-01-06 23:48:10	【俄罗斯外交部：坚定维护伊核协议】俄罗斯外交部网站就伊朗退出伊核协议发表评论。评论表示，应对当前局势需要国际社会，尤其是伊核协议涉及的各方展示政治意愿，做出坚定回应。俄罗斯强烈呼吁各方不要偏离伊核协议的既定道路，并为尽快恢复履行协议创造条件。（央视新闻）		国际
2020-01-06 23:46:11	现货黄金逼近1560美元整数关口，较日高回落逾22美元。纳指转涨，标普500指数收复几乎全部失地。		市场
2020-01-06 23:43:28	现货白银进一步回落，跌至18美元/盎司下方，日内转跌。		市场
2020-01-06 23:42:52	在岸人民币兑美元（CNY）北京时间23:30收报6.9768元，较上周五（1月3日）夜盘跌118点。成交量292.95亿美元，较上周五减少25.01亿美元。		市场
2020-01-06 23:35:08	【麦朴思等投资经理看多亚洲 称美国伊朗冲突对亚洲股市影响有限】麦朴思及瑞银环球财富管理、摩根资产管理等公司的投资经理认为，美国和伊朗摩擦升级对亚洲股市的影响可能有限。麦朴思表示，此类地缘政治紧张局势已成常态，人们意识到“生活还在继续”。摩根资产管理全球市场策略师Kerry Craig表示，市场影响将在很大程度上取决于油价受到的影响，以及这些影响已在多大程度上反映到定价中。尽管多数亚洲经济体是石油净进口国，但全球贸易量增长和制造业回暖都会“支撑亚洲市场利润”，而且利润预测正在上升。		观点
2020-01-06 23:33:58	NYMEX铂金期货下跌2.0%，报969.2美元/盎司。		市场
2020-01-06 23:33:05	【高盛：将花旗集团纳入其确信名单 维持买入评级】高盛分析师Richard Ramsden将花旗集团纳入其确信名单，并将目标价从84美元上调至88美元，维持买入评级。分析师表示，鉴于花旗国际贷款业务风险概况的改善，市场对该公司的营收增长拐点、目标开支结余和信贷成本前景过于悲观。尽管投资者对贸易和全球GDP增长前景的担忧导致其股价出现短期波动，但该分析师表示，花旗获得更高回报的道路“比市场目前所认为的更加明确”。		观点
2020-01-06 23:28:21	欧洲STOXX 600指数跌幅收窄至0.5%，英国富时100指数跌幅收窄至0.6%，德国DAX 30指数跌幅收窄至0.8%。 现货黄金回落至1570美元/盎司下方，日内当前涨幅收窄至不足1.1%。		市场
