datetime	content	title	channels
2020-02-07 23:57:45	中概股网易有道短线飙升，目前上涨近18%。		公司
2020-02-07 23:56:10	【浙江： 公职人员一般不得佩戴N95口罩】据浙江省人民政府新闻办公室消息，7日，浙江省发布关于加强口罩统筹管理的指导意见，明确规范医用口罩供给分配，优先保障一线医护人员必需，优先保障公安、交通、网格化排查等基层一线人员必需，优先保障公共场所服务窗口人员必需。严禁公职人员私自占用全省统一调配的医用口罩。除特殊岗位防护需要外，公职人员一般不得佩戴N95医用防护口罩。（中国新闻网）		其他 疫情
2020-02-07 23:55:28	【教育部要求严格管控学校校门】7日，教育部召开全国教育系统应对新冠肺炎疫情防控工作视频会议。要求严格管控学校校门，未经学校批准学生一律不准返校，校外无关人员一律不准进校门，师生进入校门一律核验身份和检测体温，对发烧咳嗽者一律实行医学隔离观察，不服从管理者一律严肃处理。（央视财经）		其他 疫情
2020-02-07 23:51:59	【武汉市防指：对滞留省外的武汉市民启动返汉安排】 今日（7日），武汉市长专线微信公众号对外公布了《武汉市防控新型冠状病毒感染肺炎疫情期间在外人员返汉工作实施方案》。记者获悉，该方案由武汉市新型肺炎防控指挥部办公室发布，提出坚持错峰返程和分批实施，对在省外滞留的武汉市民立即启动返汉安排。方案要求，优先安排医疗防疫机构、防疫药品、用品、药械等生产经营单位，保障城市公共事业运行必需，群众生活必需，经批准的重大工程以及重要国计民生相关企业等方面从业人员返回。对于其他人员安全有序返回，根据延迟开工开业开课的统一部署，再适时安排。同时要求，强化过程管控，返回人员应当是没有发热、干咳、气喘等症状的身体健康人员。返回后必须做好为期14天的健康监测。（湖北之声）		焦点 疫情
2020-02-07 23:48:34	  在岸人民币兑美元夜盘收报7.0010，较上一交易日夜盘跌290个基点。		市场
2020-02-07 23:43:43	  欧元兑美元目前报1.0971，日内下跌0.07%；欧元区财长建议，如果下行风险出现，应实施扩张性财政政策。		市场
2020-02-07 23:39:32	  美国副总统彭斯：美国经济正处于“爆发”的中间阶段。		观点 国际
2020-02-07 23:38:40	中概股网易有道短线飙升，目前上涨约8%。		公司
2020-02-07 23:36:45	【黑龙江：倡议群众用1只N95置换5只一次性医用口罩】黑龙江省应对新型冠状病毒感染肺炎疫情指挥部第8号公告：为保障医护人员的生命安全，保证医疗“火线”和“一线”防护用品需求，缓解全省医用防护口罩库存紧张局面，倡议全省群众用医用防护口罩（或符合N95/KN95及以上标准颗粒物防护口罩，下同）置换一次性使用医用口罩。口罩置换活动率先在中省直各单位开展，根据个人意愿，按照1：5比例进行口罩置换（1只医用防护口罩置换5只一次性使用医用口罩），并由各单位统一登记回收后交省应对新型冠状病毒感染肺炎疫情指挥部物资保障组置换。置换活动要严格按照标准把好质量关，确保置换口罩全新未使用。各市地根据实际情况制定具体置换办法，置换回收的医用防护口罩由各市地自行管理用于医用。（人民日报）		疫情
2020-02-07 23:32:58	穆迪：预计德国GDP增速在2020年将维持相对疲软，与2021年增速大体一致。德国债务占GDP比重将继续快速下滑，但仍然高于其他AAA评级的国家。德国信贷情况反映了德国经济体量大、管治完善以及财政政策审慎的情况。人口规模的变化，加上结构改革疲弱的势头，都将给德国的中期增长前景带来压力。		观点
2020-02-07 23:24:47	【追加10亿腾讯宣布设立15亿元“战疫基金”】腾讯宣布设立15亿元“抗击新型冠状病毒感染肺炎疫情综合保障基金”。这是腾讯在设立首期3亿元疫情防控基金、2亿元战疫开发者公益联盟资金池后，再次升级追加10亿元基金。其中，战疫基金将专设3亿元的“致敬战疫人物基金”，用于对“战疫”一线做出特殊贡献人士的致敬和慰问。腾讯15亿元战疫基金分别投入在物资支援、技术支援、人员关怀、科研与医疗事业等领域。		公司
2020-02-07 23:22:43	国家协调劳动关系三方：多措并举稳定劳动关系助力企业复工复产。（新华社）		疫情
2020-02-07 23:21:34	【好消息 南京95岁患者治愈】据南京市卫健委消息，今天下午，南京有2位患者经反复核酸检测均为阴性，经专家组评估，符合肺炎确诊病例解除隔离和出院标准。其中，1例患者出院，另1例患者已95岁，其家人因感染正隔离治疗，老人目前无人照顾，转出隔离病房后将留院进行康复治疗。（央视新闻）		疫情
2020-02-07 23:20:54	  IMF：IMF副总裁利普顿将卸任职务。		国际
2020-02-07 23:16:10	【马云公益基金会捐赠2000万，资助工程院研发新冠肺炎药物】2月7日，马云公益基金会与中国工程院签署《新型冠状病毒肺炎预防及治疗药物研发基金捐赠框架协议》，捐赠2000万元人民币用于新型冠状病毒肺炎预防及治疗药物研发。中国工程院决定组织王辰、钟南山、李松、丁健和张伯礼五位院士牵头新型冠状病毒治疗药物的筛选和研发。		公司
2020-02-07 23:13:27	【湖南累计治愈患者数破百】截至7日下午6时，湖南省一天内共有23例新型冠状病毒感染的肺炎患者治愈出院。至此， 湖南累计治愈114名患者，无一死亡病例。今天出院的患者中，长沙市有9例，衡阳市6例，邵阳市3例，怀化市3例，郴州市2例。（人民日报）		疫情
2020-02-07 23:11:56	美国国家经济顾问库德洛：管理部门估计，疫情可能会拖累美国GDP增速约0.2个百分点。		观点 国际
2020-02-07 23:08:21	美国国家经济顾问库德洛：与欧洲的谈判出现新的紧迫性因素，在与欧洲的谈判桌上提出了新的提议，这可能会带来积极的进展。尽管美国对与欧盟的贸易协议持良好信心，但欧洲汽车进口问题谈判出现了暂停。不会介意美联储降息。		国际
2020-02-07 23:05:06	美国12月批发库存环比终值 -0.2%，预期 -0.1%，初值 -0.1%。		市场 国际
2020-02-07 23:02:43	国际奥委会副主席小萨马兰奇对中国打赢疫情防控战充满信心。（新华社）		观点 国际 疫情
2020-02-07 23:01:10	辽宁2月7日最新通报：新增新型冠状病毒感染的肺炎确诊病例3例累计确诊99例。（央视新闻）		疫情
2020-02-07 23:00:40	美国12月批发销售月率：-0.7%；预期：0.4%；前值：1.5%。		数据
2020-02-07 22:58:08	美国国家航空航天局（NASA）：波音在飞行前漏掉了两个软件缺陷。波音有很多次机会可以发现星际飞船的软件缺陷。波音的故障需要系统性的纠正措施。		公司
