title	content	pub_time
充电桩“四大巨头”开始相互打通 占70%份额的巨头们在图谋什么	"(image_address=""http://e.thsi.cn/img/5b2a0dcc0cdc8188"")
经济观察网 记者 周菊充电桩民营巨头和国企之间的强强联合，表明充电桩行业正在朝着多年所期望的行业标准的统一和互融快速前进。7月4日，特来电宣布全面接入国家电网、星星充电、南方电网，这意味着在互联互通后，新能源车主将可以在国内约70%的公共充电桩上，同时使用四大平台的充电及支付业务。
中国充电联盟最新数据显示，截至今年5月，特来电运营充电桩15.7万台，星星充电13.2万台，国家电网8.8万台，南方电网目前数量较少为2118台，上述四家企业合计运营充电桩37.9万台，占国内总公共充电桩数量（55.1万台）的68.8%。
特来电和星星充电是国内运营充电桩数量最多的两大企业，也都是民营企业，而国家电网和南方电网则是国内两大充电桩国有企业，两者此次合作，或将是充电桩行业“互联互通”的一个示范性开端。此前，充电桩企业基于市场竞争各自为营，而“互联互通”一直是业内难解问题之一。
但这不是今年首个充电桩“互联互通”案例。在一个月前的6月3日，宝马汽车也宣布与国家电网全资子公司国网电动签署合作，表示到2020年底将在全国范围为车主提供27万个充电桩，在目前13万个充电桩基础上数量翻倍，经计算未来国网电动80%以上的充电桩均将可以供宝马车主使用。此前，宝马曾坚持自建充电桩。
以特来电和星星充电为代表的民营充电桩企业以及宝马为代表的车企在建桩思路上向“国家队”靠拢，表明国家电网和南方电网在充电桩“互联互通”进程中正在占据主导地位，而随着合作的展开，充电站标准“大一统”的时刻或将加速到来。
今年以来，国家电网和南方电网均加速招募共建合作伙伴。今年5月12日，国家电网正式宣布启动“国网电动社会桩开放平台项目”，并公布首批51家合作伙伴。3月初，南方电网向社会推出“场地、车队、充电站、销售渠道”4种模式的合作邀请。根据计划，国家电网将在2020年安排充电桩建设投资27亿元，新增充电桩7.8万个；南方电网近期公布将投资251亿元投建充电设施，建成大规模集中充电站150座，充电桩38万个。
值得注意的是，作为国内最大的充电桩企业，特来电和星星充电此前已与多家车企达成合作关系，而随着特来电及星星充电与国网和南网的互联互通，或将有越来越多的车企间接受益。目前，在车企层面，除上文提到的宝马外，小鹏汽车、蔚来汽车，甚至特斯拉的建桩思路均在发生变化，从此前坚持自建开始寻求外部联合。
另一方面，巨头之间的联合也意味着充电桩行业新一轮的兼并重组即将到来，随着淘汰赛的加剧，充电桩行业的集中度或将进一步上升。
经过前些年的无序竞争充电桩运营商数量急速缩水，目前头部运营商掌握了充电桩市场的大部分市场份额。数据显示，截至今年5月，全国充电运营企业所运营充电桩数量超过1万台的共有8家，分别为特来电、星星充电、国家电网、云快充、依威能源、上汽安悦、中国普天、深圳车电网。这8家运营商占总量的88.8%，其余的运营商只占总量的11.2%。
四大平台的联合或将进一步增加成员价格竞争力，从而攫取更多市场份额，尤其是特来电和星星充电这样的民企巨头。据悉，充电桩运营作为涉足国家所管控的电力行业，服务费和电价均受国家指导，而作为电力的提供者和充电标准的主要制定者，国家电网及南方电网优势显著。首批国网电动汽车公司“合伙人”――盛弘股份（300693）（充电桩生产商）在5月22日回答投资者提问时指出，充电桩生产商与国网电动打通统一通信规约，将助力运营商以更低成本接入社会桩开放平台。
在这种情况下，充电桩行业中处于“长尾”的企业生存及盈利难度将进一步增加。资料显示，在充电桩行业，目前除了头部的特来电及星星充电实现了盈利，其他企业仍多呈现亏损状态。如果这些尾部企业不能在一定时间内找到接盘者，则很可能面临被淘汰的命运。
尽管整合的大幕已被拉开，但在新基建等因素影响下，新的入局者仍在不断增加。今年3月，阿里巴巴旗下蚂蚁金服全资子公司入股简单充（杭州）科技有限公司成为第二大股东；同样是3月，宁德时代（300750）与百城新能源成立充电桩合资公司快卜新能源；到4月，华为也正式入局新充电桩领域，发布了HUAWEI HiCharger直流快充模块。
当前新能源汽车市场仍处于同比下滑的状态，这将给依赖新能源汽车发展的充电桩行业带来不利影响。数据显示，今年5月，国内新能源汽车销售8.2万辆，同比下降23.5%；1-5月累计销量28.9万辆，同比下降38.7%。但从长期来看，有预计显示，2030年新能源汽车的充电量将达到1600亿度/年，电费和服务费市场规模也将达到千亿级别。
关注同花顺财经（ths518），获取更多机会
(function(){var obj = null;if(document.getElementById('arctTailMark')) {obj = document.getElementById('arctTailMark');}if(obj!=null){var str = '(image_address=""http://i.thsi.cn/images/article/logo.jpg"")  返回首页';var showed = 0;try{var oo = obj.previousSibling;while(oo.nodeType!=1 || oo.innerHTML.replace(/\s|\u3000/g,'').length==0){oo = oo.previousSibling;}if(oo.nodeType==1 && oo.tagName.toLowerCase()=='p') {var span = document.createElement('span');span.innerHTML =str;oo.appendChild(span);showed = 1;}}catch (e){}if(showed == 0){obj.innerHTML =str;}}})();
责任编辑：cjh"	2020-07-07 23:59:55
启程回家！北京新发地市场内车辆已陆续开始驶离	"(image_address=""//comment.10jqka.com.cn/sourcepic/12/0evK0834.png"")消息：从13日新发地市场休市以后，有5000辆货车和小车停留在了市场内，而从7日开始，这些车辆已经陆续有车主回来将车开走。二十多天过去了，为保障这些车辆能够顺利开走，当地成立的3个应急维修组成了市场里最忙碌的团队之一。
编辑：林涛
关注同花顺财经（ths518），获取更多机会
(function(){var obj = null;if(document.getElementById('arctTailMark')) {obj = document.getElementById('arctTailMark');}if(obj!=null){var str = '(image_address=""http://i.thsi.cn/images/article/logo.jpg"")  返回首页';var showed = 0;try{var oo = obj.previousSibling;while(oo.nodeType!=1 || oo.innerHTML.replace(/\s|\u3000/g,'').length==0){oo = oo.previousSibling;}if(oo.nodeType==1 && oo.tagName.toLowerCase()=='p') {var span = document.createElement('span');span.innerHTML =str;oo.appendChild(span);showed = 1;}}catch (e){}if(showed == 0){obj.innerHTML =str;}}})();
责任编辑：cjh"	2020-07-07 23:54:30
又一城调控升级！扩大限购范围、调整土地竞价规则…宁波10条新政降温市场  一周已有3地收紧	"又一热点城市收紧了房地产调控政策！
7月6日，宁波四部门联合出台房地产调控新政，从调整土地竞价规则、扩大限购区域范围、强化金融监管、保障自住住房需求、强化市场销售管理等五个方面提出稳定房地产市场的“十条”新政。该政策从7月7日起实施。
至此，下半年以来，仅仅一周的时间，继河北怀来县限购松绑“一日游”后，已经有杭州、东莞、宁波等3个热点城市出台了调控收紧政策，在疫情影响逐渐消退、整体市场基本复苏、个别热点城市楼市、土地市场成交火爆的背景下，这几个城市的做法传递出下半年楼市政策走向的信号。
业内人士认为，虽然全国市场以降温为主，但部分东部沿海城市仍出现了楼市升温过快的现象，杭州、宁波等加码调控新政说明当前政策仍是以“房住不炒”为前提，若出现各类炒作等现象，政策升级和收紧都是大概率事件。
宁波升级调控政策
7月6日，宁波市政府新闻办公室微信公众号“宁波发布”披露，宁波市资规、住建、人民银行、银保监四部门联合印发《关于进一步保持和促进我市房地产市场平稳健康发展的通知》（以下简称《通知》），从保持土地市场平稳、调整限购区域范围、强化金融政策监管、保障自住住房需求以及强化市场销售管理等五方面提出“十条”新政。该政策从7月7日起实施。
(image_address=""http://e.thsi.cn/img/fac3250d87ce7a67"")
《通知》发布后，宁波市相关部门进行了权威解读：
在保持土地市场平稳方面，《通知》要求“加大土地供应力度，尽快形成有效供应”，着力解决前阶段受疫情影响土地供应放缓、供需矛盾突出问题；《通知》同时提出，“从严核定新出让地块商品住宅销售价格，调整住宅用地出让竞价规则，严格控制楼面地价”，通过从严管控房价、地价，保持房地产市场平稳。
在调整限购区域范围方面，《通知》要求，住房限购范围由原来的约140平方公里区域，扩大至约240平方公里区域。限购区域范围扩大后，鄞州、江北、镇海、海曙部分区域划入限购圈，在这些地方投机投资购房将受到限制。同时，家庭住房情况核查范围也将从老三区扩大至市五区，以后镇海、北仑的居民在限购圈内购房也将按新的政策规定执行。
在强化金融政策监管方面，《通知》要求，各银行业金融机构要“严格执行差异化个人住房信贷政策，严格执行商品住宅项目主体工程结顶后发放住房按揭贷款政策，严格执行商品房预售资金监管政策”，目的在于针对当前市场现状，适度降低金融杠杆率，保障预售资金安全，严禁信贷资金违规进入楼市，防范房地产市场金融风险。
在保障自住住房需求方面，《通知》要求“本市户籍的无住房家庭、在本市有稳定工作并已连续缴纳24个月社会保险的非本市户籍无住房家庭，或家庭成员属于本市引进人才的非本市户籍无住房家庭，可以在供求矛盾突出的商品住房楼盘销售中，优先认购商品住房。” 针对这一规定，近期市住建局将出台相关细则，明确具体操作办法，切实保障无房家庭能够优先购房，以实际举措支持居民自住需求，落实“房住不炒”政策精神。
在强化市场销售管理方面，《通知》将每批次预售建筑面积从不少于2万平方米重新恢复为不少于5万平方米，每批次间隔时间从不少于1个月重新恢复为不少于3个月，主要是针对前阶段个别房企存在的捂盘惜售现象所采取的措施，规范市场行为，稳定市场情绪。同时，针对近期楼市热点问题，提出了一系列有针对性的解决办法和措施：如针对社会公众普遍关注的“摇号抢房”现象，《通知》明确“对公开摇号销售商品住房的，应当委托公证机构全程监督”；针对限房价政策下房企非理性拿地问题，《通知》明确“对房价地价差低于正常水平的，强化项目全过程监管”，从建设规划许可、施工图设计审查、施工许可、施工过程、竣工验收，及商品房预售等全过程加强监管，确保项目建设质量；针对个别房地产开发企业捂盘惜售、虚假宣传等问题，《通知》明确“对捂盘惜售、虚假宣传、信贷资金违规入市等扰乱市场秩序的，加大查处力度”，着力营造公平有序、诚信经营的房地产市场环境。
宁波房价涨幅居前，新地王诞生
对于宁波升级房地产调控政策的原因，宁波官方说法是对当前偏热的房地产市场进行“降温”。
宁波市相关部门负责人表示，受疫情后土地供应放缓、居民购房需求补充释放、融资环境相对宽松、宁波城市吸引力增强等诸多因素影响，近段时间以来我市房地产市场总体处于偏热状态。土地市场方面，土拍竞争激烈，地价持续走高，溢价率持续攀升；房产市场方面，价格上涨预期增强，不少楼盘重现排队买房和“日光盘”现象，宁波市委市政府高度重视。
为坚决贯彻落实党中央、国务院有关房地产工作部署要求，始终坚持“房住不炒”定位，不将房地产作为短期刺激经济的手段，有效防范房地产领域风险，宁波市制定出台《关于进一步保持和促进我市房地产市场平稳健康发展的通知》，结合当前房地产市场实际，以问题为导向，研究提出了五方面、十条针对性政策措施。
“我们将严格按照国家有关要求，坚持‘房住不炒’定位，牢牢抓住‘稳’字当头这一总基调不放松，增加供应（包括土地、楼盘）、保障刚需、抑制炒房（投机投资行为）、稳定预期，推动房地产市场平稳健康发展。”宁波市住建局相关负责人说。
根据国家统计局6月发布的70城房价指数，宁波5月房价涨幅居全国前列，其中，新房价格环比涨幅1.4%，位居全国第二；二手房价格环比涨幅1.1%，位居全国第四。
而根据中指研究院最新发布的6月百城房价榜单，长三角区域楼市复苏态势较为明显，宁波、嘉兴、上海、杭州等城市新建住宅价格环比涨幅居百城前列，其中，宁波涨幅1.33%，领涨全国。
土地市场方面，在中指研究院发布的2020年1-6月全国土地出让金TOP20排行榜中，宁波以470.8亿元位列全国第13位。
值得注意的是，6月以来，宁波土地市场热度在优质土地持续入市的带动下进一步上升，吸引众多房企参与竞拍。6月24日，宁波鄞州明楼地块吸引了12家竞拍主体，经过495轮的激烈竞拍后，被绿城以28.82亿元拿下，溢价率为41.4%，楼板价达到32520元/平方米，成为宁波新的单价地王。
下半年已有3地收紧楼市调控政策
下半年伊始，继河北怀来县限购松绑“一日游”后，杭州、东莞、宁波3个热点城市又出台了调控收紧政策，在疫情影响逐渐消退、整体市场基本复苏、个别热点城市楼市、土地市场成交火爆的背景下，这几个城市的做法传递出下半年楼市政策走向的信号。
7月2日，杭州市升级了摇号政策，对高层次人才购房实施5年限售，同时严格了“无房家庭”的认定条件，进一步加大新房摇号公开销售对“无房家庭”的倾斜力度，并对购房意向登记的有关要求进行了调整。同日，东莞市发布了加强商品住房预（销）售管理的新规，对商品住房销售价格、销售监管等提出明确要求，在加大力度打击捂盘惜售行为的同时，严格规范商品住房认购行为。
从官方表态来看，杭州是为了支持自住需求，抑制投机炒房；东莞是为了缓解商品住房供需矛盾突出、房价涨幅较大的实际问题。两个政策宗旨都是落实“房住不炒”定位，促进市场平稳。而怀来则在澄清取消限购传闻不属实后，强调没有放松调控，将一直按“房住不炒”和“三稳”要求进一步规范和加强市场调控。
易居研究院智库中心研究总监严跃进指出，今年上半年，包括宁波、杭州、东莞、深圳等地都出现了炒房的现象，这也说明虽然全国市场是以降温为特征的，但部分东部沿海城市依然出现了楼市升温过快的现象。从稳预期的角度出发，必须对此类市场积极进行管控。同时，很关键的一点是，包括杭州的人才购房限售、宁波的限购政策升级，进一步说明部分城市非但不会松绑购房政策，反而会进一步加码。其都说明当前政策调控依然是以“房住不炒”为前提的，若出现各类炒作等现象，政策升级和收紧都是大概率事件。
关注同花顺财经（ths518），获取更多机会
(function(){var obj = null;if(document.getElementById('arctTailMark')) {obj = document.getElementById('arctTailMark');}if(obj!=null){var str = '(image_address=""http://i.thsi.cn/images/article/logo.jpg"")  返回首页';var showed = 0;try{var oo = obj.previousSibling;while(oo.nodeType!=1 || oo.innerHTML.replace(/\s|\u3000/g,'').length==0){oo = oo.previousSibling;}if(oo.nodeType==1 && oo.tagName.toLowerCase()=='p') {var span = document.createElement('span');span.innerHTML =str;oo.appendChild(span);showed = 1;}}catch (e){}if(showed == 0){obj.innerHTML =str;}}})();
责任编辑：cjh"	2020-07-07 23:54:21
山洪突袭 湘西北争分夺秒转移群众	"新华社长沙7月7日电（记者柳王敏、张晓迎）“6号晚上10点多，乡镇干部上门来劝我们紧急转移，房子里不能待了，随时有垮塌危险。”虽然已经过去10多个小时，回忆起昨晚的经历，65岁的罗月华仍然心有余悸。
罗月华家住湖南省桑植县桥自弯镇青龙村，6日深夜突降大暴雨引发山体滑坡，当地干部徒步进村，将村内62名群众安全转移到处于高地的村小校园内。
桑植县位于湖南省西北部、武陵山脉腹地，境内高山绵亘，云雾缥缈。6月进入汛期以来，桑植县已经过多轮强降雨，部分山体土壤含水量饱和，山洪地质灾害风险高。
7日傍晚，记者在青龙村村小安置点看到，校园内孩子们在游乐设施旁嬉戏，数十名群众围坐在操场空地上闲聊，教室已改为临时宿舍，厨房升起袅袅炊烟，晚餐的煎豆腐已下锅。
“青龙村海拔较高，村民散居在山坡空地上。昨晚的降雨来势太猛，进村山路多处地段被落石和树枝阻断，我们只好徒步进村，紧急组织群众转移。”桥自弯镇镇长刘芙蓉说。
“我们要把人民群众的生命安全放在第一位，作为一名共产党员，关键时刻我们不能退缩，要冲锋在前。”今年36岁的刘芙蓉已有17年党龄，她向记者回忆，深夜雨大风急，前路一片漆黑，为了壮胆，她和3名同事连走带爬，一路喊着口号进村。
6日深夜，桑植县凉水口镇李家庄村同样经历了一场争分夺秒的大转移，在村内河道附近的一处易地扶贫搬迁安置点，为防止洪水漫灌，当地干部紧急转移26户69名群众。
“我们把山洪叫‘竹筒水’，来势迅猛，像拿着竹筒往下倒水一样，转移就是在一分一秒抢时间。”凉水口镇镇长陈星宇说，村内有老人不肯走的，我们反复做工作，力争做到不落一人。
据湖南省防汛抗旱指挥部初步统计，截至7月7日，近期持续强降雨导致全省14.6万余人受灾，6427人被紧急转移安置。在湘西北广袤的深山里，更多的党员干部仍坚守在防汛一线。
关注同花顺财经（ths518），获取更多机会
(function(){var obj = null;if(document.getElementById('arctTailMark')) {obj = document.getElementById('arctTailMark');}if(obj!=null){var str = '(image_address=""http://i.thsi.cn/images/article/logo.jpg"")  返回首页';var showed = 0;try{var oo = obj.previousSibling;while(oo.nodeType!=1 || oo.innerHTML.replace(/\s|\u3000/g,'').length==0){oo = oo.previousSibling;}if(oo.nodeType==1 && oo.tagName.toLowerCase()=='p') {var span = document.createElement('span');span.innerHTML =str;oo.appendChild(span);showed = 1;}}catch (e){}if(showed == 0){obj.innerHTML =str;}}})();
责任编辑：cjh"	2020-07-07 23:53:49
外交部驻澳门特派员公署举办香港维护国家安全法座谈会	"新华社澳门7月7日电（记者郭鑫）外交部驻澳门特派员公署特派员沈蓓莉6日在澳门主持召开香港维护国家安全法座谈会，来自澳门高校、传媒等领域的专家学者参加座谈。
沈蓓莉在致辞中说，《中华人民共和国香港特别行政区维护国家安全法》的颁布实施，是对《全国人民代表大会关于建立健全香港特别行政区维护国家安全的法律制度和执行机制的决定》内容的全面展开、充分贯彻和具体落实，是坚持和完善“一国两制”制度体系的生动实践。这部兼具实体法、程序法和组织法内容的综合性法律，充分体现了中央政府对有关国家安全事务的根本责任和香港维护国家安全的宪制责任，有助于堵塞香港在维护国家安全方面存在的法律漏洞、制度缺失和执行机制“短板”，为香港社会稳定有序、市民安居乐业提供坚实的制度和法律保障。
沈蓓莉强调，香港维护国家安全法顺民意、得人心，令广大爱国爱港同胞欢欣鼓舞，深感振奋，对反中乱港分子形成强力震慑，将有效防控国家安全风险，对于全面贯彻“一国两制”方针和基本法，维护国家主权、安全、发展利益，保持香港长期繁荣稳定，确保“一国两制”行稳致远，具有重大现实意义和深远历史意义。
与会专家学者充分发表看法，认为香港维护国家安全法法律依据充分，兼顾“两制”差异，有助香港法治秩序尽快恢复，让香港居民依据基本法享有的权利和自由得到更好保障，是香港现实所需、长远之计。他们指出，维护国家安全是包括澳门居民在内的全国人民的共同责任，澳门宜在现有良好基础上持续补强，进一步做好普法宣传、完善法律机制，为澳门“一国两制”成功实践奠定更坚实的法律基础。
关注同花顺财经（ths518），获取更多机会
(function(){var obj = null;if(document.getElementById('arctTailMark')) {obj = document.getElementById('arctTailMark');}if(obj!=null){var str = '(image_address=""http://i.thsi.cn/images/article/logo.jpg"")  返回首页';var showed = 0;try{var oo = obj.previousSibling;while(oo.nodeType!=1 || oo.innerHTML.replace(/\s|\u3000/g,'').length==0){oo = oo.previousSibling;}if(oo.nodeType==1 && oo.tagName.toLowerCase()=='p') {var span = document.createElement('span');span.innerHTML =str;oo.appendChild(span);showed = 1;}}catch (e){}if(showed == 0){obj.innerHTML =str;}}})();
责任编辑：cjh"	2020-07-07 23:53:46
香港将实施多项措施应对新冠肺炎疫情再次暴发风险	"据新华社消息，香港连续多日出现本地感染新冠肺炎确诊病例，7日更是有9宗本地感染个案。香港特区政府食物及卫生局局长陈肇始7日表示，由于出现多宗当地感染源头不明个案，香港将实施多项措施应对新冠肺炎疫情再次暴发风险。
关注同花顺财经（ths518），获取更多机会
(function(){var obj = null;if(document.getElementById('arctTailMark')) {obj = document.getElementById('arctTailMark');}if(obj!=null){var str = '(image_address=""http://i.thsi.cn/images/article/logo.jpg"")  返回首页';var showed = 0;try{var oo = obj.previousSibling;while(oo.nodeType!=1 || oo.innerHTML.replace(/\s|\u3000/g,'').length==0){oo = oo.previousSibling;}if(oo.nodeType==1 && oo.tagName.toLowerCase()=='p') {var span = document.createElement('span');span.innerHTML =str;oo.appendChild(span);showed = 1;}}catch (e){}if(showed == 0){obj.innerHTML =str;}}})();
责任编辑：cjh"	2020-07-07 23:53:39
继续下调预期 2020年欧洲料将陷入严重衰退	"在今天发布的夏季预测中，欧盟委员会下调了自己对今年早些时候的预测，这使得2020年欧盟经济前景更加黯淡。原先预期的- 7.4%已经被重新评估为- 8.3%。
(image_address=""http://e.thsi.cn/img/250cbb1a7a92944e"")
在欧共体的新闻稿中，给出了以下背景：“尽管欧盟和各国采取了迅速和全面的政策应对措施，但由于疫情影响，欧盟经济今年将经历严重衰退。由于解除封锁措施的步伐比我们春季预测的更为缓慢，因此2020年对经济活动的影响将比预期的更为重大。”
关注同花顺财经（ths518），获取更多机会
(function(){var obj = null;if(document.getElementById('arctTailMark')) {obj = document.getElementById('arctTailMark');}if(obj!=null){var str = '(image_address=""http://i.thsi.cn/images/article/logo.jpg"")  返回首页';var showed = 0;try{var oo = obj.previousSibling;while(oo.nodeType!=1 || oo.innerHTML.replace(/\s|\u3000/g,'').length==0){oo = oo.previousSibling;}if(oo.nodeType==1 && oo.tagName.toLowerCase()=='p') {var span = document.createElement('span');span.innerHTML =str;oo.appendChild(span);showed = 1;}}catch (e){}if(showed == 0){obj.innerHTML =str;}}})();
责任编辑：cjh"	2020-07-07 23:45:10
湖北阳新强降雨 黄石发布暴雨红色预警信号	"(image_address=""//comment.10jqka.com.cn/sourcepic/12/0evK0834.png"")消息：7月7日上午，湖北黄石发布暴雨红色预警信号，部分地区有100毫米以上降水。目前，受强降雨影响，阳新县部分降雨地区出现内涝，有农田被淹。
编辑：杨兆荃
关注同花顺财经（ths518），获取更多机会
(function(){var obj = null;if(document.getElementById('arctTailMark')) {obj = document.getElementById('arctTailMark');}if(obj!=null){var str = '(image_address=""http://i.thsi.cn/images/article/logo.jpg"")  返回首页';var showed = 0;try{var oo = obj.previousSibling;while(oo.nodeType!=1 || oo.innerHTML.replace(/\s|\u3000/g,'').length==0){oo = oo.previousSibling;}if(oo.nodeType==1 && oo.tagName.toLowerCase()=='p') {var span = document.createElement('span');span.innerHTML =str;oo.appendChild(span);showed = 1;}}catch (e){}if(showed == 0){obj.innerHTML =str;}}})();
责任编辑：cjh"	2020-07-07 23:45:03
重庆仲裁委互联网仲裁平台启动 科技助力一键智能仲裁	"核心提示：据介绍，互联网仲裁平台包含办案系统、保全系统、校验系统三大子系统。其中，保全系统系全国首创，实现了仲裁全流程存证，该系统将真实客观地反映和实时监督互联网仲裁办案流程。
7月3日上午，重庆仲裁委员会(以下简称重庆仲裁委)互联网仲裁院成立大会暨首届中国(重庆)互联网仲裁论坛成功举办。
重庆司法局局长、重庆仲裁委员会主任张德宽，重庆市高级人民法院副院长孙海龙，西南政法大学校长付子堂等领导出席现场。
活动伊始，重庆仲裁委员会主任张德宽致开场辞。重庆仲裁委互联网仲裁院负责人简要介绍互联网仲裁平台的主要功能和特色优势。随后，张德宽主任、孙海龙副院长共同为重庆仲裁委互联网仲裁院揭牌，并与参会相关领导共同启动重庆仲裁委互联网仲裁平台。
据介绍，互联网仲裁平台包含办案系统、保全系统、校验系统三大子系统。其中，保全系统系全国首创，实现了仲裁全流程存证，该系统将真实客观地反映和实时监督互联网仲裁办案流程。平台同时植入了电子送达、聚合支付、在线庭审、智能统计等特色功能，通过了第三方安全、性能测评和专家验收，具备安全、稳定的运行环境和完善的功能。
相比传统线下仲裁，互联网仲裁方式无疑更加高效、便捷以及智能。其无需人工过多介入，凭借大数据、云计算、区块链等技术高质量参与仲裁环节，对平等主体的自然人、法人、非法人组织之间在互联网合同及相关权益纠纷上予以化解，并能实现互联网案件的申请、受理、缴费、送达、举证、答辩、审理、裁决等全流程线上办理，当事人足不出户即可一键仲裁。
并且，对于互联网金融借款合同纠纷、小额借款合同纠纷、信用卡纠纷等类型化案件，互联网仲裁平台可实现批量导入、批量受理、批量审理及批量裁决，大大缩短了仲裁审理期限，最快8个工作日便可作出裁决，省心省力。
杭州亦笔科技有限公司作为重庆仲裁委互联网仲裁平台的技术建设方应邀出席。董事长谭义斌先生出席活动现场，并作了题为“科技助力互联网仲裁发展的几点思考”主旨发言。
杭州亦笔科技有限公司董事长谭义斌作主旨发言
他强调，互联网时代，为避免陷入公力救济唯一化(诉讼)的泥潭之中，也为满足人民群众对纠纷解决方式的多元需求，互联网仲裁的创新与发展恰逢其时。在科技力量加持下，互联网仲裁有助于加速破解案多人少的矛盾，更有助于彰显司法为民、便民、利民的丰富内涵呈现。
在全国253家仲裁机构中，位列西部领先、全国一流的重庆仲裁委员会近年始终着力于推动仲裁改革创新，积极探索智能化仲裁方式，通过制定《网络金融仲裁规则》，推动网络仲裁进一步落地发展。
作为区块链+司法综合服务提供商，杭州亦笔科技不断创新技术，深耕服务，致力于打造全国顶尖的专业在线司法服务平台同时，始终在不断探索具有自主知识产权的仲裁行业解决方案。此次联手重庆仲裁委，合力打造互联网仲裁平台自然责无旁贷。(郑晓妮)
关注同花顺财经（ths518），获取更多机会
(function(){var obj = null;if(document.getElementById('arctTailMark')) {obj = document.getElementById('arctTailMark');}if(obj!=null){var str = '(image_address=""http://i.thsi.cn/images/article/logo.jpg"")  返回首页';var showed = 0;try{var oo = obj.previousSibling;while(oo.nodeType!=1 || oo.innerHTML.replace(/\s|\u3000/g,'').length==0){oo = oo.previousSibling;}if(oo.nodeType==1 && oo.tagName.toLowerCase()=='p') {var span = document.createElement('span');span.innerHTML =str;oo.appendChild(span);showed = 1;}}catch (e){}if(showed == 0){obj.innerHTML =str;}}})();
责任编辑：cjh"	2020-07-07 23:41:51
东营联通实现5G SA网络连片覆盖	"原标题：东营联通实现5G SA网络连片覆盖
7月1日凌晨，山东东营联通在全省率先实现5G SA网络连片覆盖，公司也成为全市第一家开通5G SA网络的通信运营商。
东营联通克服疫情影响，加班加点进行5G规划、勘查、设计，在全省提前完成5G全量站点择优，并同步开展5G相关配套改造工作。
自6月4日正式启动5G建设工作以来，东营联通各专业工作人员紧密配合，从5G核心网到智能城域承载网再到无线网，克服设备厂家多、相互联调多、无现成参考方案、智能城域网设备到货慢等困难，在摸索中前行，全力打造了一张全新的5G SA网络。在省公司的大力支持下，经过大家夜以继日的努力，7月1日凌晨实现东营5G SA网络的连片覆盖。东营联通充分利用与电信5G共建共享的优势，采用业界领先的200MHz 5G基站，开通100MHz ﹢ 100MHz载波聚合基站，在测试终端支持的情况下，实际现网下行平均速率达到2.02Gbps，上行速率达到257Mbps，满足了“高速率、低时延、广连接”的全部5G网络特性，为8月30日圆满完成规划建设任务，实现全市市区、县城的5G连续覆盖奠定了坚实的基础。
(责任编辑：DF386)
关注同花顺财经（ths518），获取更多机会
(function(){var obj = null;if(document.getElementById('arctTailMark')) {obj = document.getElementById('arctTailMark');}if(obj!=null){var str = '(image_address=""http://i.thsi.cn/images/article/logo.jpg"")  返回首页';var showed = 0;try{var oo = obj.previousSibling;while(oo.nodeType!=1 || oo.innerHTML.replace(/\s|\u3000/g,'').length==0){oo = oo.previousSibling;}if(oo.nodeType==1 && oo.tagName.toLowerCase()=='p') {var span = document.createElement('span');span.innerHTML =str;oo.appendChild(span);showed = 1;}}catch (e){}if(showed == 0){obj.innerHTML =str;}}})();
责任编辑：cjh"	2020-07-07 23:41:32
